UNIX_TIMESTAMP(ts)	x	y	z
1387625987	0.09375	-0.15625	0.96875
1387625990	0.03125	-0.125	0.9375
1387625993	0.03125	-0.09375	0.8125
1387625996	0.03125	-0.09375	0.71875
1387625998	0.03125	-0.125	0.84375
1387626001	0.03125	-0.125	0.90625
1387626004	-0.0625	-0.09375	0.78125
1387626007	0.09375	-0.0625	1.40625
1387626009	0.0625	-0.0625	1
1387626012	0.0625	-0.15625	0.625
1387626015	0.0625	-0.0625	1.03125
1387626018	0	-0.09375	0.9375
1387626020	0.09375	-0.15625	0.875
1387626023	0.0625	-0.21875	0.8125
1387626026	0.09375	-0.25	0.8125
1387626029	0	-0.15625	0.84375
1387626032	0.125	-0.21875	0.9375
1387626035	0.125	-0.03125	1.21875
1387626038	0.0625	-0.03125	1.09375
1387626040	0.0625	-0.15625	0.90625
1387626043	0.03125	-0.09375	0.9375
1387626046	0.0625	-0.125	0.90625
1387626049	0.0625	-0.09375	1.03125
1387626053	0.0625	-0.03125	1
1387626056	0.0625	-0.03125	1.0625
1387626059	0.09375	-0.0625	0.96875
1387626062	0	-0.0625	0.75
1387626065	0.0625	-0.0625	0.78125
1387626067	0.0625	-0.03125	0.9375
1387626070	0.03125	0	0.96875
1387626073	0.03125	0.03125	0.9375
1387626076	0.03125	0	0.90625
1387626079	0.09375	0	0.875
1387626081	0.09375	0.03125	0.875
1387626084	0.0625	0.03125	0.875
1387626087	0.0625	0.03125	0.78125
1387626090	0.0625	0.03125	0.90625
1387626096	0.03125	0.0625	0.84375
1387626099	0.09375	0.125	0.875
1387626101	0.03125	0.125	0.78125
1387626104	0.0625	0.21875	0.90625
1387626107	-0.03125	0.1875	0.84375
1387626110	0.03125	0.15625	0.9375
1387626113	0.09375	0.1875	0.875
1387626115	0.03125	0.1875	0.71875
1387626118	0.0625	0.1875	0.8125
1387626121	-0.0625	0.1875	0.84375
1387626123	0.125	0.28125	0.8125
1387626127	0.28125	0.15625	0.84375
1387626130	0.125	0.15625	0.75
1387626133	0.15625	0.25	0.96875
1387626136	-0.03125	0.21875	0.9375
1387626139	0.0625	0.15625	0.84375
1387626142	-0.03125	0.1875	0.90625
